Tabel 1 Nitrogenase activity collected from literature,,,,,
Species,Original activity,Original unit,Transformed activity,Transformed unit,Literature
Agrobacterium sp.,7.0±1.5,μmol C2H4–1 h–1 g–1 of nodules dry weight,7000,nmol/g nodule/h,"Ramírez, M. D. A., España, M., Lewandowska, S., Yuan, K., Okazaki, S., Ohkama-Ohtsu, N., & Yokoyama, T. (2020). Phylogenetic analysis of symbiotic bacteria associated with two Vigna species under different agro-ecological conditions in Venezuela. Microbes and environments, 35(1), ME19120."
Agrobacterium sp.,0,μmol C2H4–1 h–1 g–1 of nodules dry weight,0,nmol/g nodule/h,"Ramírez, M. D. A., España, M., Lewandowska, S., Yuan, K., Okazaki, S., Ohkama-Ohtsu, N., & Yokoyama, T. (2020). Phylogenetic analysis of symbiotic bacteria associated with two Vigna species under different agro-ecological conditions in Venezuela. Microbes and environments, 35(1), ME19120."
Agrobacterium sp.,7.1±2.0,μmol C2H4–1 h–1 g–1 of nodules dry weight,7100,nmol/g nodule/h,"Ramírez, M. D. A., España, M., Lewandowska, S., Yuan, K., Okazaki, S., Ohkama-Ohtsu, N., & Yokoyama, T. (2020). Phylogenetic analysis of symbiotic bacteria associated with two Vigna species under different agro-ecological conditions in Venezuela. Microbes and environments, 35(1), ME19120."
Agrobacterium sp.,0,μmol C2H4–1 h–1 g–1 of nodules dry weight,0,nmol/g nodule/h,"Ramírez, M. D. A., España, M., Lewandowska, S., Yuan, K., Okazaki, S., Ohkama-Ohtsu, N., & Yokoyama, T. (2020). Phylogenetic analysis of symbiotic bacteria associated with two Vigna species under different agro-ecological conditions in Venezuela. Microbes and environments, 35(1), ME19120."
Agrobacterium sp.,0.2±0.1,μmol C2H4–1 h–1 g–1 per plant,0.2±0.1,μmol C2H4–1 h–1 g–1 per plant,"Ramírez, M. D. A., España, M., Lewandowska, S., Yuan, K., Okazaki, S., Ohkama-Ohtsu, N., & Yokoyama, T. (2020). Phylogenetic analysis of symbiotic bacteria associated with two Vigna species under different agro-ecological conditions in Venezuela. Microbes and environments, 35(1), ME19120."
Agrobacterium sp.,0,μmol C2H4–1 h–1 g–1 per plant,0,μmol C2H4–1 h–1 g–1 per plant,"Ramírez, M. D. A., España, M., Lewandowska, S., Yuan, K., Okazaki, S., Ohkama-Ohtsu, N., & Yokoyama, T. (2020). Phylogenetic analysis of symbiotic bacteria associated with two Vigna species under different agro-ecological conditions in Venezuela. Microbes and environments, 35(1), ME19120."
Agrobacterium sp.,0.5±0.05,μmol C2H4–1 h–1 g–1 per plant,0.5±0.05,μmol C2H4–1 h–1 g–1 per plant,"Ramírez, M. D. A., España, M., Lewandowska, S., Yuan, K., Okazaki, S., Ohkama-Ohtsu, N., & Yokoyama, T. (2020). Phylogenetic analysis of symbiotic bacteria associated with two Vigna species under different agro-ecological conditions in Venezuela. Microbes and environments, 35(1), ME19120."
Agrobacterium sp.,0,μmol C2H4–1 h–1 g–1 per plant,0,μmol C2H4–1 h–1 g–1 per plant,"Ramírez, M. D. A., España, M., Lewandowska, S., Yuan, K., Okazaki, S., Ohkama-Ohtsu, N., & Yokoyama, T. (2020). Phylogenetic analysis of symbiotic bacteria associated with two Vigna species under different agro-ecological conditions in Venezuela. Microbes and environments, 35(1), ME19120."
Agromonas ologotrophica,300-600,µmol (g cell carbon gcc)−1 h−1,450,nmol/mg/h,"Sato, Y., Hosokawa, K., Fujimura, R., Nishizawa, T., Kamijo, T., & Ohta, H. (2009). Nitrogenase activity (acetylene reduction) of an iron-oxidizing Leptospirillum strain cultured as a pioneer microbe from a recent volcanic deposit on Miyake-jima, Japan. Microbes and environments, 24(4), 291-296."
Alcaligenes faecalis,115.66±2.56,nmolethylene/h/mg protein,115.66,nmol/mg/h,"Laskar, F. (2013). Isolation and characterisation of diazotrophic bacteria from rhizosphere of different rice cultivars of South Assam, India. Current World Environment, 8(1), 157."
Alcaligenes faecalis strain SP03,0.44±0.04,(nmole C2H4 mg-1 protein h-1,0.44,nmol/mg/h,"Bhromsiri, C., & Bhromsiri, A. (2010). Isolation, screening of growth-promoting activities and diversity of rhizobacteria from vetiver grass and rice plants. Thai Journal of Agricultural Science, 43(4), 217-230."
Alcaligenes sp.,142/0,(nmol C2H4 h−1 vial−1),71,nmol/tube/h,"Yao, T., Yasmin, S., & Hafeez, F. Y. (2008). Potential role of rhizobacteria isolated from Northwestern China for enhancing wheat and oat yield. The Journal of Agricultural Science, 146(1), 49-56."
Alkaligenes faecalis,21.05 ± 0.44,"nmol 
C2H4/mg protein/day",0.877,nmol/mg/h,"Yousuf, J., Thajudeen, J., Aneesa, P. A., Joseph, A., Divya, P. S., Varghese, A., & AA, M. H. (2020). Diversity and activity of culturable nitrogen fixing heterotrophic bacteria from estuarine and coastal environments of Southeastern Arabian Sea (SEAS). Regional Studies in Marine Science, 33, 100973."
Alkaligenes faecalis CCS Z-1,25,"nmol 
C2H4/mg protein/day",1.042,nmol/mg/h,"Yousuf, J., Thajudeen, J., Aneesa, P. A., Joseph, A., Divya, P. S., Varghese, A., & AA, M. H. (2020). Diversity and activity of culturable nitrogen fixing heterotrophic bacteria from estuarine and coastal environments of Southeastern Arabian Sea (SEAS). Regional Studies in Marine Science, 33, 100973."
Alkaligens sp.,142±8.4,nmol of ethylene /h/vial,142,nmol/tube/h,"Rajput, L. (2014). Biochemical and Molecular Characterization of Salinity Tolerant PGPR Strains (Doctoral dissertation, Quaid-i-Azam University, Islamabad.)."
Anabaena BI46,42±3,μmol C2H4 mg−1 prot. h−1,42000,nmol/mg/h,"Irisarri, P., Gonnet, S., & Monza, J. (2001). Cyanobacteria in Uruguayan rice fields: diversity, nitrogen fixing ability and tolerance to herbicides and combined nitrogen. Journal of Biotechnology, 91(2-3), 95-103."
Anabaena commune PCC 793,3.6,μmol ethylene mg−1 Chl a h−1,3.6,nmoles/μg Chl a/h,"Kamshybayeva, G. K., Kossalbayev, B. D., Sadvakasova, A. K., Bauenova, M. O., Zayadan, B. K., Bozieva, A. M., ... & Allakhverdiev, S. I. (2023). Screening and optimisation of hydrogen production by newly isolated nitrogen-fixing cyanobacterial strains. International Journal of Hydrogen Energy, 48(44), 16649-16662."
Anabaena cylindrica PPC-701,12,μmol ethylene mg−1 Chl a h−1,12,nmoles/μg Chl a/h,"Kamshybayeva, G. K., Kossalbayev, B. D., Sadvakasova, A. K., Bauenova, M. O., Zayadan, B. K., Bozieva, A. M., ... & Allakhverdiev, S. I. (2023). Screening and optimisation of hydrogen production by newly isolated nitrogen-fixing cyanobacterial strains. International Journal of Hydrogen Energy, 48(44), 16649-16662."
Anabaena doliolum,8.82,u moles/mg Chl a/min,529.2,nmoles/μg Chl a/h,"Minj, R. A., Singh, P., Kunui, K., & Singh, S. S. (2017). Diversity and phylogenetic analysis of heterocystous cyanobacteria using morphological, nitrogen fixation and molecular attributes."
Anabaena doliolum,714.43 ± 65.34,nmoles C2H4/mg Chl a/h,0.71443 ,nmoles/μg Chl a/h,"Mishra, A. K., Shukla, E., & Singh, S. S. (2013). Phylogenetic comparison among the heterocystous cyanobacteria based on a polyphasic approach. Protoplasma, 250, 77-94."
Anabaena laxa,1_6,nmoles C2H4 mg−1 chi hr−1,0.0035,nmoles/μg Chl a/h,"Kokila, V., Prasanna, R., Saniya, T. K., Kumar, A., & Singh, B. (2023). Elevated CO2modulates the metabolic machinery of cyanobacteria and valorizes its potential as a biofertilizer. Biocatalysis and Agricultural Biotechnology, 50, 102716."
Anabaena oryzae,10.12,u moles/mg Chl a/min,607.2,nmoles/μg Chl a/h,"Minj, R. A., Singh, P., Kunui, K., & Singh, S. S. (2017). Diversity and phylogenetic analysis of heterocystous cyanobacteria using morphological, nitrogen fixation and molecular attributes."
Anabaena oryzae,872.69 ± 70.66,nmoles C2H4/mg Chl a/h,0.87269 ,nmoles/μg Chl a/h,"Mishra, A. K., Shukla, E., & Singh, S. S. (2013). Phylogenetic comparison among the heterocystous cyanobacteria based on a polyphasic approach. Protoplasma, 250, 77-94."
Anabaena oscillarioides,236.0 ± 72.9/0.4 ± 0.2 ,(nmol/h C2H4 per g fresh biomass,118.2,nmol/mg/h,"Hrčková, K., Šimek, M., Hrouzek, P., & Lukešová, A. (2010). Biological dinitrogen fixation by selected soil cyanobacteria as affected by strain origin, morphotype, and light conditions. Folia microbiologica, 55, 467-473."
Anabaena sp.,980.27 ± 95.67,nmoles C2H4/mg Chl a/h,0.98027 ,nmoles/μg Chl a/h,"Mishra, A. K., Shukla, E., & Singh, S. S. (2013). Phylogenetic comparison among the heterocystous cyanobacteria based on a polyphasic approach. Protoplasma, 250, 77-94."
Anabaena sp.,16,umol C2H4 produced h(-1) mg(-1) CHI,16,nmoles/μg Chl a/h,"Moisander, P. H., McClinton Iii, E., & Paerl, H. W. (2002). Salinity effects on growth, photosynthetic parameters, and nitrogenase activity in estuarine planktonic cyanobacteria. Microbial ecology, 432-442."
Anabaena sp.,0.23,nmol/hour/mg dry biomass,0.23,nmol/hour/mg dry biomass,"Premarathna, M., Seneviratne, G., & Kulasooriya, S. A. Tripartite cyanobacterial biofilms are more efficient nitrogen assimilators than their bipartite biofilms."
Anabaena sp. BI42,0.69, u mol ethylene mg−1DW h−1,690,nmol/mg/h,"Pérez, G., Doldán, S., Borsani, O., & Irisarri, P. (2012). Differential response to moderate UV-B irradiation of two heterocystous cyanobacteria isolated from a temperate ricefield."
Anabaena sp. BTA990,66.87 ± 0.54,nmol C2H4 μg−1 Chl-a h−1,66.87,nmoles/μg Chl a/h,"Tiwari, O. N., Khangembam, R., Shamjetshabam, M., Sharma, A. S., Oinam, G., & Brand, J. J. (2015). Characterization and optimization of bioflocculant exopolysaccharide production by cyanobacteria Nostoc sp. BTA97 and Anabaena sp. BTA990 in culture conditions. Applied biochemistry and biotechnology, 176, 1950-1963."
Anabaena sp. PCC 7120,1071.50 ± 84.51,nmoles C2H4/mg Chl a/h,1.07150 ,nmoles/μg Chl a/h,"Mishra, A. K., Shukla, E., & Singh, S. S. (2013). Phylogenetic comparison among the heterocystous cyanobacteria based on a polyphasic approach. Protoplasma, 250, 77-94."
Anabaena sphaerica,8.26,u moles/mg Chl a/min,495.6,nmoles/μg Chl a/h,"Minj, R. A., Singh, P., Kunui, K., & Singh, S. S. (2017). Diversity and phylogenetic analysis of heterocystous cyanobacteria using morphological, nitrogen fixation and molecular attributes."
Anabaena strain PCC 7120,10,μmol ethylene mg−1 Chl a h−1,10,nmoles/μg Chl a/h,"Kamshybayeva, G. K., Kossalbayev, B. D., Sadvakasova, A. K., Bauenova, M. O., Zayadan, B. K., Bozieva, A. M., ... & Allakhverdiev, S. I. (2023). Screening and optimisation of hydrogen production by newly isolated nitrogen-fixing cyanobacterial strains. International Journal of Hydrogen Energy, 48(44), 16649-16662."
Anabaena strain ZTB-1,21.3,μmol ethylene mg−1 Chl a h−1,21.3,nmoles/μg Chl a/h,"Kamshybayeva, G. K., Kossalbayev, B. D., Sadvakasova, A. K., Bauenova, M. O., Zayadan, B. K., Bozieva, A. M., ... & Allakhverdiev, S. I. (2023). Screening and optimisation of hydrogen production by newly isolated nitrogen-fixing cyanobacterial strains. International Journal of Hydrogen Energy, 48(44), 16649-16662."
Anabaena variabilis,7.19,u moles/mg Chl a/min,431.4,nmoles/μg Chl a/h,"Minj, R. A., Singh, P., Kunui, K., & Singh, S. S. (2017). Diversity and phylogenetic analysis of heterocystous cyanobacteria using morphological, nitrogen fixation and molecular attributes."
Anabaena variabilis ATCC 29413,48,nmol C2H4 produced h(-1) ug(-1) CHI,48,nmoles/μg Chl a/h,"Happe, T., Schütz, K., & Böhme, H. (2000). Transcriptional and mutational analysis of the uptake hydrogenase of the filamentous cyanobacterium Anabaena variabilis ATCC 29413. Journal of bacteriology, 182(6), 1624-1631."
Anabaena variabilis BTA-1047,19.2,μmol ethylene mg−1 Chl a h−1,19.2,nmoles/μg Chl a/h,"Kamshybayeva, G. K., Kossalbayev, B. D., Sadvakasova, A. K., Bauenova, M. O., Zayadan, B. K., Bozieva, A. M., ... & Allakhverdiev, S. I. (2023). Screening and optimisation of hydrogen production by newly isolated nitrogen-fixing cyanobacterial strains. International Journal of Hydrogen Energy, 48(44), 16649-16662."
Anabaena variabilis MEGCH1 ,35,ηmole C2H4 h-1 ug-1 protein,35000,nmol/mg/h,"Diengdoh, O. L., Ryntathiang, S., & Syiem, M. B. (2023). ZN TOLERANCE IN ANABAENA VARIABILIS MEGCH1: AN IN-DEPTH ANALYSIS OF CARBON AND NITROGEN ASSIMILATION; MORPHOLOGY AND ULTRASTRUCTURE. Journal of Applied Biological Sciences, 17(3), 391-406."
Anabaena sp. strain PCC 7120,31.85 ± 2.45,μmol ethylene [mg Chl]−1 h−1,31.85,nmoles/μg Chl a/h,"López-Igual, R., Lechno-Yossef, S., Fan, Q., Herrero, A., Flores, E., & Wolk, C. P. (2012). A major facilitator superfamily protein, HepP, is involved in formation of the heterocyst envelope polysaccharide in the cyanobacterium Anabaena sp. strain PCC 7120. Journal of bacteriology, 194(17), 4677-4687."
Anabaenopsis sp.,22,umol C2H4 produced h(-1) mg(-1) CHI,22,nmoles/μg Chl a/h,"Moisander, P. H., McClinton Iii, E., & Paerl, H. W. (2002). Salinity effects on growth, photosynthetic parameters, and nitrogenase activity in estuarine planktonic cyanobacteria. Microbial ecology, 432-442."
Anaeromyxobacter PSR-1,0.24 ± 0.33,nmol/g soil/h,0.24,nmol/g soil/h,"Masuda, Y., Yamanaka, H., Xu, Z. X., Shiratori, Y., Aono, T., Amachi, S., ... & Itoh, H. (2020). Diazotrophic Anaeromyxobacter isolates from soils. Applied and environmental microbiology, 86(16), e00956-20."
Anaeromyxobacter PSR-1,[6.2 ± 1.0] × 10−10,nmol C2H4/h/cell,0.00062,nmol/h/10*6cells,"Masuda, Y., Yamanaka, H., Xu, Z. X., Shiratori, Y., Aono, T., Amachi, S., ... & Itoh, H. (2020). Diazotrophic Anaeromyxobacter isolates from soils. Applied and environmental microbiology, 86(16), e00956-20."
Anaeromyxobacter Red267,[1.5 ± 0.1] × 10−10,nmol C2H4/h/cell,0.00015 ,nmol/h/10*6cells,"Masuda, Y., Yamanaka, H., Xu, Z. X., Shiratori, Y., Aono, T., Amachi, S., ... & Itoh, H. (2020). Diazotrophic Anaeromyxobacter isolates from soils. Applied and environmental microbiology, 86(16), e00956-20."
Anaeromyxobacter Red267,0.58 ± 0.38,nmol/g soil/h,0.58,nmol/g soil/h,"Masuda, Y., Yamanaka, H., Xu, Z. X., Shiratori, Y., Aono, T., Amachi, S., ... & Itoh, H. (2020). Diazotrophic Anaeromyxobacter isolates from soils. Applied and environmental microbiology, 86(16), e00956-20."
Ancylobacter abiegnus Z-0056 (NR_117472),28.62 ± 0.12,nmole C2H4 produced mg−1 dry bacteria h−1,28.62,nmol/mg/h,"Banik, A., Mukhopadhaya, S. K., & Dangar, T. K. (2016). Characterization of N 2-fixing plant growth promoting endophytic and epiphytic bacterial community of Indian cultivated and wild rice (Oryza spp.) genotypes. Planta, 243, 799-812."
Ancylobacter defluvii CCUG 63806,0.82±0.19,µmol ml−1 h−1,820,nmol/mL/h,"Suarez, C., Ratering, S., Schäfer, J., & Schnell, S. (2017). Ancylobacter pratisalsi sp. nov. with plant growth promotion abilities from the rhizosphere of Plantago winteri Wirtg. International Journal of Systematic and Evolutionary Microbiology, 67(11), 4500-4506."
Ancylobacter dichloromethanicus DSM 21507,0.07±0.05,µmol ml−1 h−1,70,nmol/mL/h,"Suarez, C., Ratering, S., Schäfer, J., & Schnell, S. (2017). Ancylobacter pratisalsi sp. nov. with plant growth promotion abilities from the rhizosphere of Plantago winteri Wirtg. International Journal of Systematic and Evolutionary Microbiology, 67(11), 4500-4506."
Ancylobacter polymorphus,52.9/22.1/15.1/6.5,nmol C2H4/mg protein/h,52.9,nmol/mg/h,"Muangthong, A., Youpensuk, S., & Rerkasem, B. (2015). Isolation and characterisation of endophytic nitrogen fixing bacteria in sugarcane. Tropical life sciences research, 26(1), 41."
Ancylobacter pratisalsi E130,0.14±0.07,µmol ml−1 h−1,140,nmol/mL/h,"Suarez, C., Ratering, S., Schäfer, J., & Schnell, S. (2017). Ancylobacter pratisalsi sp. nov. with plant growth promotion abilities from the rhizosphere of Plantago winteri Wirtg. International Journal of Systematic and Evolutionary Microbiology, 67(11), 4500-4506."
Ancylobacter rudongensis DSM 17131,0.15±0.1,µmol ml−1 h−1,150,nmol/mL/h,"Suarez, C., Ratering, S., Schäfer, J., & Schnell, S. (2017). Ancylobacter pratisalsi sp. nov. with plant growth promotion abilities from the rhizosphere of Plantago winteri Wirtg. International Journal of Systematic and Evolutionary Microbiology, 67(11), 4500-4506."
Aromatoleum diolicum 22Lin2,0.479 ± 0.022,nmol C2H4 mg Protein−1 min−1,28.74,nmol/mg/h,"Raittz, R. T., Reginatto De Pierri, C., Maluk, M., Bueno Batista, M., Carmona, M., Junghare, M., ... & James, E. K. (2021). Comparative genomics provides insights into the taxonomy of Azoarcus and reveals separate origins of nif genes in the proposed Azoarcus and Aromatoleum genera. Genes, 12(1), 71."
Aromatoleum evansii KB740,0,nmol C2H4 mg Protein−1 min−1,0,nmol/mg/h,"Raittz, R. T., Reginatto De Pierri, C., Maluk, M., Bueno Batista, M., Carmona, M., Junghare, M., ... & James, E. K. (2021). Comparative genomics provides insights into the taxonomy of Azoarcus and reveals separate origins of nif genes in the proposed Azoarcus and Aromatoleum genera. Genes, 12(1), 71."
Aromatoleum sp. CIB,1.163 ± 0.041,nmol C2H4 mg Protein−1 min−1,69.78,nmol/mg/h,"Raittz, R. T., Reginatto De Pierri, C., Maluk, M., Bueno Batista, M., Carmona, M., Junghare, M., ... & James, E. K. (2021). Comparative genomics provides insights into the taxonomy of Azoarcus and reveals separate origins of nif genes in the proposed Azoarcus and Aromatoleum genera. Genes, 12(1), 71."
